member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian
r9i1p1f1,120,counterfactual,2011-01-16 12:00:00,28.270554,254.88373,0.16291474483888557,0.03094975784820475,0.0,0.0
r9i1p1f1,121,counterfactual,2011-01-16 12:00:00,60.559082,134.71037,0.16476708501283177,0.1389927708032005,0.0,0.0
r9i1p1f1,122,counterfactual,2011-02-15 00:00:00,19.436619,351.3889,0.3062626151090263,0.10076921076093293,0.0,0.031399720554421306
r9i1p1f1,123,counterfactual,2011-02-15 00:00:00,26.507872,8.051471,0.34795531910136,0.14970466648049263,0.0,0.0
r9i1p1f1,124,counterfactual,2011-02-15 00:00:00,63.55854,207.03125,0.0006929112193887477,0.013724600368604123,0.0,0.0
r9i1p1f1,125,counterfactual,2011-03-16 12:00:00,-30.856646,135.0685,0.8180202161254005,0.1739536347417402,0.6762477375136748,0.9204792251949553
r9i1p1f1,126,counterfactual,2011-03-16 12:00:00,29.971348,59.618645,0.4346787429690364,0.12172880083856297,0.05196902499873557,0.2635298963249064
r9i1p1f1,127,counterfactual,2011-03-16 12:00:00,30.082445,110.48781,0.39734112340560823,0.029057055262209697,0.0,0.006586160010153219
r9i1p1f1,128,counterfactual,2011-03-16 12:00:00,30.845072,30.833334,0.4023015607235949,0.1373980070472165,0.026441747214657085,0.1341751146569442
r9i1p1f1,129,counterfactual,2011-04-16 00:00:00,-37.839382,294.2553,0.3272692046486716,0.041766476160600474,0.016305688250669692,0.06679694304895445
r9i1p1f1,130,counterfactual,2011-06-16 00:00:00,-74.86115,151.35715,0.2660333686515193,0.06112263070934154,0.0,0.0
r9i1p1f1,131,counterfactual,2011-08-16 12:00:00,-83.54011,161.6827,0.5287633189673464,0.11691367582119194,0.17210454691368793,0.511345495114198
r9i1p1f1,132,counterfactual,2011-08-16 12:00:00,-74.63414,27.378048,0.23703331995517274,0.03527868532756506,0.019377162106345214,0.0
r9i1p1f1,133,counterfactual,2011-09-16 00:00:00,-15.400462,303.61942,0.6514194940437559,0.2501476627527166,0.49889574311309426,0.8862353102184033
r9i1p1f1,134,counterfactual,2011-11-16 00:00:00,-25.326244,144.43878,0.0724789279179241,0.034327825794572275,0.0,0.0
r9i1p1f1,135,counterfactual,2011-12-16 12:00:00,-24.084507,146.0,0.12868095833520865,0.05351860121912955,0.0,0.0
r9i1p1f1,136,counterfactual,2011-12-16 12:00:00,62.637203,264.7414,0.0014644856019506713,0.009200832809695525,0.0,0.0
r9i1p1f1,137,counterfactual,2011-12-16 12:00:00,67.77764,133.5177,0.3376116067267675,0.23160347234979684,0.0,0.4288198979336424
r9i1p1f1,138,counterfactual,2012-01-16 12:00:00,19.97153,10.558511,0.6229820107398054,0.2096482188894092,0.0,0.003829852252197674
r9i1p1f1,139,counterfactual,2012-01-16 12:00:00,33.672817,268.01282,0.5876251106854202,0.11543083907932439,0.0,0.27180891788354133
r9i1p1f1,140,counterfactual,2012-02-15 12:00:00,64.77464,28.583334,0.33800421565521843,0.20071033381405534,0.0,0.19501969971688082
r9i1p1f1,141,counterfactual,2012-03-16 12:00:00,42.04225,284.40475,0.6004823194444893,0.24340980414857005,0.3882845757890535,0.8570907425654367
r9i1p1f1,142,counterfactual,2012-04-16 00:00:00,50.87184,63.03719,0.07524796697606717,0.06721400724325088,0.0,0.0
r9i1p1f1,143,counterfactual,2012-06-16 00:00:00,56.0161,10.178572,0.30270851762861506,0.16790031480689305,0.0,0.3159637227345551
r9i1p1f1,144,counterfactual,2012-07-16 12:00:00,-15.140847,294.2361,0.5857217870535524,0.28503213280294437,0.0,0.13484899835393716
r9i1p1f1,145,counterfactual,2012-09-16 00:00:00,-70.94503,145.80646,0.16729281588629863,0.04700263123628512,0.0,0.0
r9i1p1f1,146,counterfactual,2012-09-16 00:00:00,-6.830987,25.694445,0.408325433328821,0.25429141652744947,0.0,0.36802835247998233
r9i1p1f1,147,counterfactual,2012-10-16 12:00:00,39.05043,242.09677,0.628328898100788,0.15726469039824753,0.04601849355913701,0.5574088246454627
r9i1p1f1,148,counterfactual,2012-11-16 00:00:00,-14.088531,31.5,0.53635517097191,0.09854820164206102,0.0,0.6508260920146065
r9i1p1f1,149,counterfactual,2012-12-16 12:00:00,-21.939327,26.576923,0.2783568807861959,0.05374741191140364,0.0,0.04842448486620721
r9i1p1f1,150,counterfactual,2012-12-16 12:00:00,16.334005,101.71429,0.07425436338152402,0.0015153645236021251,0.0008658455601845416,0.0
