member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_pca_gaussian
r9i1p1f1,3,factual,2010-12-16 12:00:00,67.52438,288.07693,0.9991613955755316,0.993602969933339,0.8460415852043999,0.999932246109107
r9i1p1f1,4,factual,2010-12-16 12:00:00,78.51699,317.58823,0.9999786892615018,0.993264015749933,0.8766749481168966,0.9999999872841553
r9i1p1f1,5,factual,2011-01-16 12:00:00,19.09331,5.8854165,0.923275410105176,0.9995747889781786,0.34422603834679877,0.9777892407155133
r9i1p1f1,6,factual,2011-01-16 12:00:00,15.8784275,355.0,0.9447587823081387,0.9998159736879018,0.8025508913508761,0.996389740078452
r9i1p1f1,7,factual,2011-01-16 12:00:00,41.526764,59.2,0.9938720984512196,0.970296444993139,0.6007082949303622,0.9800118625526957
r9i1p1f1,8,factual,2011-01-16 12:00:00,59.05048,134.29776,0.9909834683052905,0.9992802983623859,0.9664884444841716,0.9999999999808696
r9i1p1f1,9,factual,2011-03-16 12:00:00,-30.076826,123.86364,0.9545317658750684,0.9385438816364823,0.9403809195298826,0.9999825167058582
r9i1p1f1,10,factual,2011-03-16 12:00:00,33.994884,56.022728,0.9682047488003097,0.9748824860649933,0.6628135369343007,0.9957567336948103
r9i1p1f1,11,factual,2011-04-16 00:00:00,-37.36681,295.0,0.8473766636204052,0.9541556349793511,0.5004128303440656,0.9975901034517846
r9i1p1f1,12,factual,2011-12-16 12:00:00,65.9155,125.454544,0.9919219342592442,0.9964992424490968,0.8185060217454541,0.9999999953774971
r9i1p1f1,13,factual,2011-12-16 12:00:00,69.67461,143.10345,0.9840612454943108,0.9997403887131012,0.8866484404202607,0.999999999999584
r9i1p1f1,14,factual,2011-12-16 12:00:00,80.492966,337.32144,0.9495811475655235,0.9873429419879182,0.8628207295095273,0.9999999875069138
r9i1p1f1,15,factual,2012-04-16 00:00:00,49.52716,69.46429,0.982333911301967,0.9005686593865263,0.7580330789484775,0.9966628528488011
r9i1p1f1,16,factual,2012-06-16 00:00:00,54.214516,355.76923,0.9026035488849103,0.9987014131856319,0.9982444832953417,0.9999999999973016
r9i1p1f1,17,factual,2012-06-16 00:00:00,57.23727,9.615385,0.9917290907743131,0.9912563930292246,0.9486999297372238,0.9999999264243716
r9i1p1f1,18,factual,2012-12-16 12:00:00,-21.14597,28.295454,0.8971954023711469,0.9978191337551026,0.9647563607705976,0.9999982049637101
r9i1p1f1,19,factual,2013-02-15 00:00:00,2.1939328,291.82693,0.7299562013607446,0.99999996732293,0.0,0.9966184587124753
r9i1p1f1,20,factual,2013-04-16 00:00:00,3.3152766,300.0,0.8806778479407624,0.9999942764461899,0.0,0.9987205077585252
r9i1p1f1,21,factual,2013-04-16 00:00:00,25.314833,352.05884,0.9782326524640459,0.9984324399864591,0.8764748779826125,0.9986002431477653
r9i1p1f1,22,factual,2013-05-16 12:00:00,9.618889,6.470588,0.811470718867503,0.9999362151920336,0.814542277808833,0.9997761447178589
r9i1p1f1,23,factual,2013-05-16 12:00:00,28.394371,5.0,0.9455762299103327,0.9965106324860724,0.3312502525888893,0.9984752211274496
r9i1p1f1,24,factual,2013-08-16 12:00:00,-81.126755,226.5,0.7417333575545235,0.7422499647882057,0.5753763599264303,0.9286889245080794
r9i1p1f1,25,factual,2013-09-16 00:00:00,-26.800804,119.64286,0.9561560968298454,0.9910616327208296,0.952905992557817,0.9999976896279609
r9i1p1f1,26,factual,2013-09-16 00:00:00,50.012794,21.477272,0.8806248289150771,0.9452789264276517,0.9021643886875079,0.9999999484778678
r9i1p1f1,27,factual,2014-02-15 00:00:00,66.72806,28.653847,0.9565454064384885,0.9987129476695461,0.9516786794953086,0.9999973945520845
r9i1p1f1,28,factual,2014-05-16 12:00:00,-46.90141,291.25,0.8579065080088685,0.9848480290278374,0.9609055671678473,0.9994400341661811
