member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_sir_2_gaussian,pn_analogue_sparse_sir_3_gaussian,pn_analogue_sparse_sir_10_gaussian
r4i1p1f1,7,factual,2006-11-16 00:00:00,71.94003,316.9086,0.758644031999789,0.9706706707743572,0.9241343950456561,0.998541243837013,0.5337044959658412,0.999665426628375,0.9962143380655183
r4i1p1f1,8,factual,2007-02-15 00:00:00,20.242077,22.03125,0.7504777956373936,0.9894962645983995,0.45647652893107915,0.8356610925017631,0.9960869562935665,0.9982630905146002,0.9998052795031418
r4i1p1f1,9,factual,2007-06-16 00:00:00,-86.32922,140.1302,0.9258329082900687,0.7034864032572812,0.0,0.9230389474323786,0.9998305192923045,0.9882448366849362,0.9987037316509725
r4i1p1f1,10,factual,2007-12-16 12:00:00,63.653904,89.52643,0.9996875991502695,0.9787674758227423,0.999999302679858,0.9960044652248963,0.9931120440146814,0.9885284272583624,0.9979466581802815
r4i1p1f1,11,factual,2009-01-16 12:00:00,44.584507,102.763885,0.842856678910614,0.9823690126030048,0.9685644969440553,0.9981113246556645,0.9999827130737899,0.9999855489255879,0.9998243097785002
r4i1p1f1,12,factual,2009-03-16 12:00:00,46.824585,57.878788,0.9270663873029524,0.9345549571011793,0.5165156016658992,0.9640633535722123,0.9996311904438251,0.997258956714062,0.9993238851196111
r4i1p1f1,13,factual,2009-05-16 12:00:00,-82.788734,7.9444447,0.5352286265868569,0.6669553392738665,0.6580902041274685,0.9759934510060922,0.0,0.6349119356117534,0.9921026799613025
r4i1p1f1,14,factual,2009-05-16 12:00:00,-82.448875,339.8925,0.991790443584375,0.7664187669541869,0.999853026890321,0.9954099234197398,0.981393530227838,0.9984743633957962,0.9880773463780992
r4i1p1f1,15,factual,2009-05-16 12:00:00,19.90141,98.5,0.8866924518492302,0.9933251828732651,0.0,0.7864862345737279,0.9830760915164242,0.9643532689575306,0.9999995143011292
r4i1p1f1,16,factual,2009-06-16 00:00:00,-30.115238,297.42426,0.7864197294755946,0.8697369079433602,0.9943032876051277,0.959271370210604,0.9910024815692831,0.9710932553736485,0.9952841839630139
r4i1p1f1,17,factual,2010-12-16 12:00:00,36.81952,275.75583,0.9349631869250188,0.9730551451948751,0.9699664280256255,0.9917747304350478,0.0,0.0,0.0
r4i1p1f1,18,factual,2011-07-16 12:00:00,-86.71369,163.69403,0.9386635741853521,0.7477187391956925,0.9925229455060517,0.9648670494301133,0.9251517408353301,0.96282699570214,0.9997715607122855
r4i1p1f1,19,factual,2012-10-16 12:00:00,-10.386188,307.74194,0.905319469650514,0.9999929264113958,0.0,0.9985060913309184,0.9999999520360178,0.9999990221944908,0.9999999998675125
r4i1p1f1,20,factual,2012-12-16 12:00:00,57.959248,93.69681,0.9996520732741002,0.971127170973924,0.998046314277056,0.9968963500024548,0.9953680784815127,0.9987287932158332,0.9993764158314278
r4i1p1f1,21,factual,2012-12-16 12:00:00,66.971825,174.08333,0.9962811261838079,0.9847615607467494,0.9957001303731207,0.9912172760653674,0.9902475961528301,0.9865967895021064,0.915751845115877
r4i1p1f1,22,factual,2013-09-16 00:00:00,-18.211267,302.91666,0.8280778099298994,0.997227482416505,0.0,0.943490204260635,0.9999999707137726,0.9999999994469371,0.9999999999463991
r4i1p1f1,23,factual,2013-12-16 12:00:00,52.71748,114.06863,0.968381353676272,0.9722204795501391,0.9999798149767803,0.9952715372592265,0.8938147172575877,0.9990172564541479,0.9991529344470621
r4i1p1f1,0,counterfactual,2004-07-16 12:00:00,-73.8028,97.888885,0.09957713082833353,0.0,0.0,0.0,0.22279782418450944,0.36610736252509835,0.9504182763086666
r4i1p1f1,1,counterfactual,2005-01-16 12:00:00,58.672035,263.57144,0.40114526122817795,0.0,0.0,0.24061730436643214,0.0,0.0,0.0
r4i1p1f1,2,counterfactual,2005-07-16 12:00:00,-89.84055,174.76414,0.3060507968980867,0.0,0.24000671261891238,0.08519624483675581,0.0,0.0,0.42206680934057705
r4i1p1f1,3,counterfactual,2005-07-16 12:00:00,-81.12674,138.81818,0.5692090528768059,0.0,0.30889740026391654,0.4716243955170638,0.16037439637212736,0.7752043772109718,0.7947881015958698
r4i1p1f1,4,counterfactual,2006-02-15 00:00:00,18.814886,7.428571,0.27809388101111676,0.0,0.19394221673950895,0.0,0.02916927462728336,0.0,0.8781381352294524
r4i1p1f1,5,counterfactual,2006-02-15 00:00:00,16.812454,353.75,0.2926102157538659,0.0,0.05800904894820258,0.0,0.0,0.0,0.8835787499048817
r4i1p1f1,6,counterfactual,2006-04-16 00:00:00,52.028175,258.94446,0.03606748618537903,0.0,0.0,0.0,0.0,0.0,0.4659966816162353
r4i1p1f1,7,counterfactual,2006-11-16 00:00:00,71.94003,316.9086,0.6460698200851551,0.0,0.9015032757068645,0.0,0.2538101169079441,0.0,0.0
r4i1p1f1,8,counterfactual,2007-02-15 00:00:00,20.242077,22.03125,0.38861135175427497,0.0,0.0,0.0,0.7466676329965432,0.5620859740479738,0.9791090168469061
r4i1p1f1,9,counterfactual,2007-06-16 00:00:00,-86.32922,140.1302,0.33194173828567797,0.0,0.0,0.06575565769819358,0.0,0.0,0.9756152445979687
r4i1p1f1,10,counterfactual,2007-12-16 12:00:00,63.653904,89.52643,0.13163506041081452,0.0,0.0,0.0,0.6006575357038428,0.1564239034252991,0.7546816509195774
r4i1p1f1,11,counterfactual,2009-01-16 12:00:00,44.584507,102.763885,0.10623717013179246,0.0,0.0,0.0,0.0,0.0,0.5985316287848657
r4i1p1f1,12,counterfactual,2009-03-16 12:00:00,46.824585,57.878788,0.13210885863125577,0.0,0.13690805247148152,0.0,0.06064390491490079,0.0,0.7701548994921568
r4i1p1f1,13,counterfactual,2009-05-16 12:00:00,-82.788734,7.9444447,0.209456905286191,0.0,0.04348369224931059,0.0,0.4545297960348952,0.7440509228075723,0.9890390756307191
r4i1p1f1,14,counterfactual,2009-05-16 12:00:00,-82.448875,339.8925,0.32015007545712526,0.0,0.23644702952903662,0.0,0.0,0.19625957545545658,0.9711289051494425
r4i1p1f1,15,counterfactual,2009-05-16 12:00:00,19.90141,98.5,0.4942553490107532,0.0,0.0,0.0,0.6454455087764686,0.9960910931814134,0.99831560080026
r4i1p1f1,16,counterfactual,2009-06-16 00:00:00,-30.115238,297.42426,0.19983069846855728,0.0,0.09240502339698298,0.0,0.44603718262102654,0.0,0.9297255781674064
r4i1p1f1,17,counterfactual,2010-12-16 12:00:00,36.81952,275.75583,0.08903557747598934,0.001122397052694235,0.0,0.0,0.0,0.0,0.0
r4i1p1f1,18,counterfactual,2011-07-16 12:00:00,-86.71369,163.69403,0.08641251018123675,0.0068486033042910455,0.16802569179135207,0.0,0.0,0.11700268181788631,0.9694512156372919
r4i1p1f1,19,counterfactual,2012-10-16 12:00:00,-10.386188,307.74194,0.6191249883166122,0.21357702420113578,0.0,0.7939710341180588,0.0,0.7866684665656309,0.9941246455798259
r4i1p1f1,20,counterfactual,2012-12-16 12:00:00,57.959248,93.69681,0.934366014258775,0.12718802551064423,0.0,0.17483239159449515,0.6889053203495391,0.14588197745196352,0.8978793543702098
